frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
41,1,3588.243,-0.044,-0.024,0.993,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
42,1,3588.253,-0.042,-0.023,0.991,0.0,0.0,0.0,15,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
43,1,3588.263,-0.047,-0.017,0.981,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
44,1,3588.273,-0.046,-0.019,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
45,1,3588.283,-0.046,-0.021,0.983,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
46,1,3588.293,-0.046,-0.021,0.986,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
47,1,3588.303,-0.041,-0.022,0.987,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
48,1,3588.313,-0.04,-0.021,0.989,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
49,1,3588.323,-0.045,-0.022,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
50,1,3588.333,-0.042,-0.019,0.994,0.0,0.0,0.0,15,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
51,1,3588.343,-0.037,-0.025,0.99,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
52,1,3588.353,-0.054,-0.019,0.989,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
53,1,3588.363,-0.04,-0.024,0.991,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
54,1,3588.373,-0.041,-0.023,0.983,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
