Time,Velocity_X,Velocity_Y,Velocity_Z,(Ext)Velocity_Magnitude,(Int)Magnitude,,,,,,,,,,,,,,0.005350207771899,,
0.103,3.663025606989,0.663403397327999,-0.41462712333,3.74563430094882,0,,,,,,,,,,,,,,0.005350207771899,,
0.114,2.0227693487155,0.729032637256001,-0.307319817035,2.17198754467649,0,,,,,,,,,,,,,,0.005350207771899,,150.294073289996
0.124,1.936947726105,0.46662394296,0.01481784815,1.99241661467442,0,,,,,,,,,,,,,,0.005350207771899,,
0.134,2.329213726105,0.17242444296,0.11288434815,2.33831341921122,0,,,,,,,,,,,,,,0.005350207771899,,
0.144,2.231147226105,0.417590692959999,-0.03421540185,2.27014770997981,0,,,,,,,,,,,,,,0.005350207771899,,
0.154,1.985980976105,0.662756942960001,-0.23034840185,2.10628288440264,0,,,,,,,,,,,,,,0.005350207771899,,
0.164,2.084047476105,0.662756942960001,-0.18131515185,2.19439646198942,0,,,,,,,,,,,,,,0.005350207771899,,
0.174,2.133080726105,0.613723692959999,0.06385109815,2.22053307070983,0,,,,,,,,,,,,,,0.005350207771899,,
0.184,1.985980976105,0.46662394296,-0.08324865185,2.04176117105536,0,,,,,,,,,,,,,,0.005350207771899,,
0.194,1.887914476105,0.662756942960001,-0.27938165185,2.02027768930881,0,,,,,,,,,,,,,,0.005350207771899,,
0.204,1.985980976105,0.613723692959999,-0.13228190185,2.08285278171753,0,,,,,,,,,,,,,,0.005350207771899,,
0.214,2.231147226105,0.31952419296,-0.03421540185,2.25417043458709,0,,,,,,,,,,,,,,0.005350207771899,,
0.224,2.231147226105,0.56469044296,-0.18131515185,2.3086291224917,0,,,,,,,,,,,,,,0.005350207771899,,
0.234,2.035014226105,0.662756942960001,-0.03421540185,2.14049068197345,0,,,,,,,,,,,,,,0.005350207771899,,
0.243,1.7873828784945,0.375831623663999,0.145725838335,1.83227262808776,0,,,,,,,,,,,,,,0.005350207771899,,
0.254,2.2924522237155,0.243603462256,0.285982507965,2.32302945304256,0,,,,,,,,,,,,,,0.005350207771899,,
0.264,2.231147226105,0.46662394296,0.16191759815,2.28516370470263,0,,,,,,,,,,,,,,0.005350207771899,,
0.274,1.985980976105,0.662756942960001,-0.18131515185,2.10148575707356,0,,,,,,,,,,,,,,0.005350207771899,,
0.284,1.74081472610499,0.466623942959998,-0.03421540185,1.80259382792999,0,,,,,,,,,,,,,,0.005350207771899,,
0.294,1.887914476105,0.46662394296,0.35805059815,1.97741224939716,0,,,,,,,,,,,,,,0.005350207771899,,
0.304,2.035014226105,0.51565719296,0.21095084815,2.10990177530527,0,,,,,,,,,,,,,,0.005350207771899,,
0.313,1.7432529534945,0.419961548664,-0.030793861665,1.7933897580113,0,,,,,,,,,,,,,,0.005350207771899,,
0.324,2.1306424987155,0.351476612256,0.124172782965,2.16300535050768,0,,,,,,,,,,,,,,0.005350207771899,,
0.334,2.084047476105,0.31952419296,0.21095084815,2.11892658034241,0,,,,,,,,,,,,,,0.005350207771899,,
0.344,1.98598097610499,0.515657192959998,-0.08324865185,2.05352212457942,0,,,,,,,,,,,,,,0.005350207771899,,
0.354,1.887914476105,0.56469044296,-0.13228190185,1.97499237138128,0,,,,,,,,,,,,,,0.005350207771899,,
0.364,2.084047476105,0.41759069296,0.11288434815,2.12846863861408,0,,,,,,,,,,,,,,0.005350207771899,,
0.374,2.084047476105,0.36855744296,0.11288434815,2.11939409914204,0,,,,,,,,,,,,,,0.005350207771899,,
0.384,1.838881226105,0.56469044296,-0.13228190185,1.92817477466355,0,,,,,,,,,,,,,,0.005350207771899,,
