Time,Speed,accX,accY,accZ,velocity_magnitude
1.079,1500,0.02325137,0.00675824,0.0001511,0
1.089,1500,0.02225137,0.00675824,-0.0028489,0
1.099,1500,0.02225137,0.00575824,0.0001511,0
1.109,1500,0.02425137,0.00475824,0.0001511,0
1.119,1500,0.02125137,0.00575824,-0.0028489,0
1.129,1500,0.02325137,0.00375824,-0.0008489,0
1.139,1500,0.02325137,0.00775824,0.0021511,0
1.149,1500,0.02225137,0.00375824,0.0011511,0
1.158,1500,0.02325137,0.00575824,-0.0008489,0
1.169,1500,0.02125137,0.00575824,0.0001511,0
1.178,1500,0.02225137,0.00575824,-0.0008489,0
1.189,1500,0.02225137,0.00275824,0.0011511,0
1.199,1500,0.02125137,0.00775824,-0.0018489,0
1.209,1500,0.02125137,0.00775824,-0.0048489,0
1.219,1500,0.01825137,0.00675824,-0.0018489,0
1.228,1500,0.02025137,0.00375824,-0.0008489,0
1.239,1500,0.02425137,0.00575824,0.0001511,0
1.248,1500,0.02325137,0.00375824,0.0021511,0
1.259,1500,0.02125137,0.00575824,0.0001511,0
1.269,1500,0.02225137,0.00675824,-0.0018489,0
1.279,1500,0.02325137,0.00475824,-0.0008489,0
1.289,1500,0.02325137,0.00475824,0.0011511,0
1.299,1500,0.02125137,0.00775824,-0.0038489,0
1.309,1500,0.02125137,0.00575824,-0.0008489,0
1.319,1500,0.02125137,0.00375824,-0.0008489,0
1.329,1500,0.02425137,0.00575824,-0.0008489,0
1.338,1500,0.02425137,0.00875824,0.0001511,0
1.349,1500,0.02125137,0.00775824,0.0031511,0
1.359,1500,0.02225137,0.00575824,-0.0018489,0
1.369,1500,0.02425137,0.00575824,-0.0018489,0
1.379,1500,0.02125137,0.00475824,-0.0028489,0
1.389,1500,0.02025137,0.00175824,0.0021511,0
1.399,1500,0.02325137,0.00675824,-0.0018489,0
1.409,1500,0.02325137,0.00575824,-0.0018489,0
1.418,1500,0.02125137,0.00375824,-0.0058489,0
1.429,1500,0.02325137,0.00775824,-0.0048489,0
1.439,1500,0.02225137,0.00575824,-0.0008489,0
1.449,1500,0.02025137,0.00375824,0.0001511,0
1.459,1500,0.02025137,0.00475824,-0.0028489,0
1.469,1500,0.02025137,0.00575824,0.0021511,0
1.479,1500,0.02225137,0.00475824,-0.0008489,0
1.489,1500,0.02125137,0.00275824,-0.0028489,0
1.5,1500,0.02125137,0.00775824,-0.0038489,0
1.509,1500,0.02525137,0.00475824,-0.0018489,0
1.519,1500,0.02525137,0.00275824,0.0021511,0
1.529,1500,0.02125137,0.00575824,-0.0028489,0
1.539,1500,0.02225137,0.00675824,-0.0008489,0
1.549,1500,0.02025137,0.00475824,0.0001511,0
1.559,1500,0.02125137,0.00475824,0.0011511,0
1.569,1500,0.02325137,0.00575824,-0.0038489,0
1.579,1500,0.02325137,0.00575824,-0.0008489,0
1.589,1500,0.02325137,0.00275824,-0.0008489,0
1.599,1500,0.02125137,0.00775824,-0.0018489,0
1.609,1500,0.02125137,0.00475824,0.0021511,0
1.619,1500,0.02225137,0.00375824,0.0031511,0
1.629,1500,0.02325137,0.00475824,-0.0018489,0
1.639,1500,0.02425137,0.00675824,-0.0008489,0
1.649,1500,0.02025137,0.00675824,-0.0008489,0
1.659,1500,0.01825137,0.00475824,0.0021511,0
1.669,1500,0.02525137,0.00475824,0.0011511,0
1.679,1500,0.02225137,0.00275824,-0.0008489,0
1.69,1500,0.02225137,0.00675824,0.0001511,0
1.7,1500,0.02025137,0.00875824,-0.0008489,0
1.71,1500,0.02325137,0.00675824,0.0011511,0
1.72,1500,0.02025137,0.00675824,-0.0018489,0
1.73,1500,0.02125137,0.00675824,-0.0028489,0
1.74,1500,0.02425137,0.00675824,-0.0018489,0
1.75,1500,0.02325137,0.00175824,0.0021511,0
1.76,1500,0.02225137,0.00475824,-0.0008489,0
1.769,1500,0.02325137,0.00875824,-0.0038489,0
1.779,1500,0.02225137,0.00275824,0.0021511,0
1.789,1500,0.02025137,0.00375824,0.0021511,0
1.799,1500,0.02125137,0.00975824,-0.0038489,0
1.809,1500,0.02125137,0.00675824,-0.0008489,0
1.819,1500,0.02425137,0.00475824,0.0021511,0
1.829,1500,0.02325137,0.00675824,0.0001511,0
1.839,1500,0.02125137,0.00775824,-0.0028489,0
1.849,1500,0.02225137,0.00575824,0.0011511,0
1.859,1500,0.02525137,0.00375824,0.0021511,0
1.87,1500,0.02425137,0.00475824,0.0001511,0
1.88,1500,0.02225137,0.00675824,-0.0028489,0
1.89,1500,0.02225137,0.00875824,-0.0018489,0
1.9,1500,0.02525137,0.00475824,0.0021511,0
1.91,1500,0.02325137,0.00375824,-0.0008489,0
1.92,1500,0.01925137,0.00475824,0.0001511,0
1.93,1500,0.02125137,0.00575824,-0.0008489,0
1.939,1500,0.02425137,0.00375824,0.0031511,0
1.949,1500,0.02625137,0.00275824,0.0021511,0
1.96,1500,0.01925137,0.00775824,-0.0028489,0
1.969,1500,0.01825137,0.00975824,-0.0008489,0
1.979,1500,0.02525137,0.00575824,-0.0008489,0
1.989,1500,0.01925137,0.00375824,0.0001511,0
2,1500,0.02125137,0.00875824,-0.0078489,0
2.009,1500,0.02225137,0.00675824,0.0011511,0
2.019,1500,0.02225137,0.00275824,0.0011511,0
2.03,1500,0.02125137,0.00575824,-0.0018489,0
2.039,1500,0.02125137,0.00875824,0.0001511,0
2.049,1500,0.02125137,0.00475824,0.0031511,0
2.059,1500,0.02125137,0.00375824,0.0001511,0
2.069,1500,0.02225137,0.00575824,0.0001511,0
2.08,1500,0.02325137,0.00475824,-0.0038489,0
2.089,1500,0.02025137,0.00675824,0.0011511,0
2.099,1500,0.02325137,0.00375824,-0.0038489,0
2.11,1500,0.02125137,0.00775824,-0.0008489,0
2.119,1500,0.02125137,0.00575824,-0.0038489,0
2.129,1500,0.02325137,0.00375824,0.0001511,0
2.14,1500,0.02225137,0.00375824,0.0001511,0
2.149,1500,0.02125137,0.00675824,-0.0018489,0
2.159,1500,0.02225137,0.00475824,-0.0008489,0
2.17,1500,0.02325137,0.00375824,0.0021511,0
2.179,1500,0.01925137,0.00375824,0.0001511,0
2.189,1500,0.02025137,0.00675824,-0.0018489,0
2.2,1500,0.02225137,0.00775824,-0.0028489,0
2.209,1500,0.02325137,0.00175824,0.0021511,0
2.219,1500,0.02225137,0.00575824,0.0011511,0
2.229,1500,0.02225137,0.00775824,-0.0058489,0
2.24,1500,0.02125137,0.00575824,-0.0018489,0
2.249,1500,0.02525137,0.00375824,-0.0008489,0
2.259,1500,0.02125137,0.00475824,0.0011511,0
2.27,1500,0.02225137,0.00675824,-0.0038489,0
2.279,1500,0.02325137,0.00575824,0.0001511,0
2.29,1500,0.02325137,0.00275824,0.0021511,0
2.299,1500,0.02225137,0.00675824,-0.0008489,0
2.309,1500,0.02125137,0.01075824,-0.0018489,0
2.32,1500,0.02125137,0.00475824,0.0001511,0
2.329,1500,0.02525137,0.00575824,-0.0008489,0
2.339,1500,0.02425137,0.00475824,-0.0018489,0
2.35,1500,0.02025137,0.00575824,-0.0018489,0
2.359,1500,0.01925137,0.00375824,0.0021511,0
2.369,1500,0.02125137,0.00375824,0.0011511,0
2.38,1500,0.02325137,0.00575824,-0.0038489,0
2.389,1500,0.02025137,0.00375824,-0.0038489,0
2.4,1500,0.02325137,0.00575824,0.0011511,0
2.41,1500,0.02325137,0.00175824,0.0011511,0
2.419,1500,0.02525137,0.00575824,-0.0038489,0
2.43,1500,0.02125137,0.00575824,-0.0048489,0
2.439,1500,0.02225137,0.00575824,-0.0008489,0
2.449,1500,0.02325137,0.00775824,0.0031511,0
2.46,1500,0.02025137,0.00675824,-0.0028489,0
2.469,1500,0.02625137,0.00575824,-0.0028489,0
2.479,1500,0.02125137,0.00275824,-0.0018489,0
2.49,1500,0.02025137,0.00475824,0.0011511,0
2.499,1500,0.02125137,0.00675824,-0.0008489,0
2.51,1500,0.02325137,0.00475824,-0.0028489,0
2.52,1500,0.02525137,0.00275824,-0.0018489,0
2.529,1500,0.02225137,0.00575824,0.0011511,0
2.54,1500,0.02325137,0.00675824,-0.0008489,0
2.549,1500,0.02125137,0.00775824,-0.0018489,0
2.559,1500,0.02125137,0.00375824,-0.0008489,0
2.57,1500,0.02325137,0.00675824,-0.0008489,0
2.58,1500,0.02325137,0.00775824,-0.0018489,0
2.59,1500,0.02225137,0.00275824,0.0011511,0
2.599,1500,0.02425137,0.00575824,-0.0018489,0
2.609,1500,0.02225137,0.00775824,-0.0038489,0
2.62,1500,0.02325137,0.00675824,-0.0008489,0
2.629,1500,0.02125137,0.00675824,0.0021511,0
2.639,1500,0.02525137,0.00475824,-0.0018489,0
2.65,1500,0.02225137,0.00375824,-0.0008489,0
2.659,1500,0.02425137,0.00575824,0.0021511,0
2.669,1500,0.02325137,0.00375824,-0.0008489,0
2.68,1500,0.02125137,0.00275824,0.0011511,0
2.689,1500,0.02225137,0.00575824,0.0021511,0
2.7,1500,0.02125137,0.00275824,0.0031511,0
2.71,1500,0.02225137,0.00775824,0.0011511,0
2.719,1500,0.02325137,0.00575824,-0.0018489,0
2.73,1500,0.02325137,0.00475824,0.0011511,0
2.74,1500,0.02025137,0.00675824,-0.0038489,0
2.749,1500,0.02325137,0.00575824,-0.0018489,0
2.759,1500,0.02225137,0.00475824,0.0021511,0
2.769,1500,0.02025137,0.00675824,-0.0008489,0
2.78,1500,0.02425137,0.00775824,-0.0028489,0
2.79,1500,0.02325137,0.00375824,-0.0008489,0
2.799,1500,0.02025137,0.00375824,0.0021511,0
2.81,1500,0.02125137,0.00775824,-0.0018489,0
2.82,1500,0.02225137,0.00475824,0.0011511,0
2.829,1500,0.02025137,0.00575824,0.0001511,0
2.84,1500,0.02225137,0.00875824,-0.0028489,0
2.85,1500,0.02225137,0.00575824,-0.0028489,0
2.859,1500,0.02225137,0.00475824,-0.0018489,0
2.87,1500,0.02125137,0.00775824,-0.0008489,0
