-0.041	-0.024	0.99
-0.045	-0.021	0.989
-0.039	-0.022	0.988
-0.04	-0.021	0.985
-0.04	-0.024	0.99
-0.04	-0.026	0.994
-0.041	-0.025	0.99
-0.043	-0.021	0.987
-0.045	-0.021	0.986
-0.039	-0.022	0.99
-0.04	-0.028	0.989
-0.042	-0.022	0.986
-0.043	-0.021	0.987
-0.041	-0.026	0.992
-0.042	-0.022	0.989
-0.042	-0.02	0.987
-0.042	-0.024	0.988
-0.038	-0.025	0.988
-0.041	-0.024	0.99
-0.041	-0.021	0.987
-0.043	-0.021	0.99
-0.04	-0.023	0.988
-0.04	-0.022	0.989
-0.044	-0.022	0.987
-0.037	-0.024	0.988
-0.038	-0.026	0.99
-0.04	-0.024	0.99
-0.039	-0.025	0.988
-0.04	-0.022	0.99
-0.039	-0.024	0.99
-0.04	-0.023	0.985
-0.04	-0.022	0.989
-0.04	-0.023	0.989
-0.039	-0.026	0.99
-0.041	-0.024	0.99
-0.041	-0.02	0.984
-0.041	-0.027	0.989
-0.039	-0.025	0.991
-0.043	-0.022	0.987
-0.041	-0.022	0.99
-0.04	-0.023	0.989
-0.041	-0.025	0.989
-0.039	-0.022	0.99
-0.042	-0.026	0.986
-0.04	-0.021	0.988
-0.041	-0.022	0.989
-0.042	-0.025	0.99
-0.039	-0.023	0.99
-0.042	-0.023	0.988
-0.042	-0.024	0.989
-0.044	-0.025	0.991
-0.042	-0.024	0.99
-0.044	-0.02	0.986
-0.043	-0.024	0.987
-0.043	-0.023	0.99
-0.04	-0.024	0.988
-0.041	-0.024	0.987
-0.042	-0.024	0.987
-0.039	-0.024	0.989
-0.042	-0.025	0.99
-0.045	-0.021	0.986
