Time,Speed,accX,accY,accZ,velocity_magnitude
0.074,1500,0.02425137,0.00475824,-0.0078489,0
0.091,1500,0.02725137,0.00675824,0.0031511,0
0.1,1500,0.03525137,0.00575824,0.0061511,0
0.111,1500,0.03125137,0.00475824,0.0051511,0
0.121,1500,0.01725137,0.00675824,0.0011511,0
0.131,1500,0.01925137,0.00075824,0.0001511,0
0.141,1500,0.01625137,0.00075824,-0.0008489,0
0.151,1500,0.00725137,0.00975824,-0.0138489,0
0.161,1500,0.01525137,0.00475824,-0.0078489,0
0.171,1500,0.01525137,0.00675824,-0.0058489,0
0.181,1500,0.02625137,0.00775824,-0.0038489,0
0.191,1500,0.02725137,0.00775824,0.0001511,0
0.201,1500,0.03225137,0.00475824,0.0001511,0
0.211,1500,0.03125137,-0.00024176,0.0041511,0
0.221,1500,0.03125137,0.00575824,0.0111511,0
0.231,1500,0.02925137,0.00475824,0.0021511,0
0.241,1500,0.02125137,0.00075824,0.0051511,0
0.251,1500,0.02425137,0.00475824,0.0041511,0
0.261,1500,0.00925137,0.00675824,-0.0048489,0
0.271,1500,0.00925137,0.00475824,-0.0078489,0
0.281,1500,0.01425137,0.00575824,-0.0128489,0
0.291,1500,0.01925137,0.00575824,-0.0068489,0
0.301,1500,0.02725137,0.00275824,-0.0038489,0
0.311,1500,0.02825137,0.00575824,0.0041511,0
0.321,1500,0.03325137,0.00375824,0.0001511,0
0.331,1500,0.02925137,0.00275824,0.0071511,0
0.341,1500,0.02725137,0.00275824,0.0051511,0
0.35,1500,0.02525137,0.00775824,-0.0008489,0
0.361,1500,0.02425137,0.00375824,-0.0008489,0
0.37,1500,0.01625137,0.00475824,0.0011511,0
0.381,1500,0.01025137,0.00575824,-0.0058489,0
0.391,1500,0.01025137,0.00675824,-0.0048489,0
0.401,1500,0.02025137,0.00275824,-0.0048489,0
0.411,1500,0.01825137,0.00275824,-0.0078489,0
0.42,1500,0.02125137,0.00675824,0.0011511,0
0.431,1500,0.03425137,0.00675824,0.0031511,0
0.441,1500,0.03325137,-0.00124176,0.0121511,0
0.452,1500,0.03425137,0.00175824,0.0051511,0
0.462,1500,0.02925137,0.00775824,0.0021511,0
0.471,1500,0.02525137,0.00675824,0.0031511,0
0.481,1500,0.01425137,0.00075824,0.0011511,0
0.492,1500,0.01325137,0.00675824,-0.0078489,0
0.501,1500,0.01025137,0.00675824,-0.0048489,0
0.512,1500,0.01225137,0.00575824,-0.0058489,0
0.521,1500,0.02525137,0.00775824,-0.0018489,0
0.532,1500,0.02225137,0.00875824,0.0011511,0
0.541,1500,0.02925137,0.01175824,0.0021511,0
0.551,1500,0.03125137,0.00475824,0.0051511,0
0.561,1500,0.03025137,0.00775824,0.0051511,0
0.571,1500,0.02825137,0.00275824,0.0021511,0
0.581,1500,0.02725137,0.00475824,-0.0008489,0
0.59,1500,0.02725137,0.00175824,0.0011511,0
0.601,1500,0.01925137,0.00275824,0.0031511,0
0.611,1500,0.01525137,0.00275824,-0.0068489,0
0.621,1500,0.01125137,0.00675824,0.0011511,0
0.631,1500,0.00825137,0.00275824,-0.0028489,0
0.641,1500,0.00925137,0.00275824,-0.0068489,0
0.651,1500,0.02125137,0.00475824,-0.0068489,0
0.661,1500,0.02525137,0.00875824,0.0011511,0
0.671,1500,0.02825137,0.00575824,0.0031511,0
0.682,1500,0.03025137,-0.00024176,0.0071511,0
0.691,1500,0.02925137,0.00775824,0.0041511,0
0.702,1500,0.02825137,0.00575824,0.0021511,0
0.711,1500,0.01325137,0.00175824,0.0001511,0
0.721,1500,0.02125137,0.00375824,0.0041511,0
0.731,1500,0.01525137,0.00675824,-0.0048489,0
0.741,1500,0.01725137,0.00275824,-0.0028489,0
0.751,1500,0.01625137,0.00175824,-0.0008489,0
0.761,1500,0.01225137,0.00575824,-0.0118489,0
0.771,1500,0.01925137,0.00875824,-0.0088489,0
0.781,1500,0.02225137,0.00675824,-0.0058489,0
0.791,1500,0.02725137,0.00375824,-0.0028489,0
0.8,1500,0.03025137,0.00575824,-0.0008489,0
0.811,1500,0.02725137,0.00275824,0.0061511,0
