Time,Speed,accX,accY,accZ,velocity_magnitude
0.073,1500,0.01525137,0.01175824,-0.0078489,0
0.09,1500,0.02925137,0.00775824,-0.0028489,0
0.1,1500,0.02225137,0.00375824,0.0011511,0
0.11,1500,0.03125137,0.00275824,0.0041511,0
0.12,1500,0.02425137,0.00875824,-0.0028489,0
0.13,1500,0.03525137,0.00875824,0.0041511,0
0.141,1500,0.01525137,0.00375824,-0.0008489,0
0.151,1500,0.01725137,0.00575824,-0.0008489,0
0.161,1500,0.02125137,0.00575824,-0.0058489,0
0.171,1500,0.01325137,0.00775824,-0.0008489,0
0.181,1500,0.01725137,0.00175824,-0.0048489,0
0.191,1500,0.01425137,0.00875824,-0.0058489,0
0.201,1500,0.02725137,0.00575824,-0.0008489,0
0.211,1500,0.03025137,0.00575824,-0.0038489,0
0.22,1500,0.01725137,0.00475824,0.0021511,0
0.23,1500,0.03225137,0.00975824,0.0051511,0
0.24,1500,0.02325137,0.00975824,0.0001511,0
0.25,1500,0.01225137,-0.00124176,0.0031511,0
0.26,1500,0.01925137,0.00175824,0.0031511,0
0.27,1500,0.01225137,0.00475824,-0.0098489,0
0.281,1500,0.01325137,0.00675824,0.0031511,0
0.291,1500,0.02425137,0.00375824,0.0011511,0
0.301,1500,0.02425137,0.00475824,-0.0058489,0
0.311,1500,0.02125137,0.00675824,-0.0028489,0
0.32,1500,0.01725137,0.00575824,-0.0018489,0
0.33,1500,0.03025137,0.00575824,-0.0048489,0
0.34,1500,0.02825137,0.00675824,0.0061511,0
0.35,1500,0.02725137,0.00575824,-0.0018489,0
0.361,1500,0.02525137,0.00775824,-0.0018489,0
0.37,1500,0.02725137,0.00075824,0.0091511,0
0.38,1500,0.02125137,-0.00224176,0.0001511,0
0.39,1500,0.01825137,0.00975824,0.0001511,0
0.4,1500,0.01925137,0.00275824,-0.0148489,0
0.41,1500,0.01425137,0.00475824,-0.0018489,0
0.42,1500,0.01025137,0.00175824,-0.0038489,0
0.431,1500,0.02625137,0.00975824,-0.0058489,0
0.441,1500,0.02525137,0.00775824,-0.0018489,0
0.451,1500,0.02825137,0.00575824,0.0001511,0
0.461,1500,0.02225137,0.00975824,0.0061511,0
0.471,1500,0.03625137,0.00975824,0.0071511,0
0.481,1500,0.01425137,0.00675824,-0.0058489,0
0.491,1500,0.02325137,0.00375824,0.0011511,0
0.501,1500,0.01825137,0.00475824,0.0011511,0
0.511,1500,0.01025137,0.00675824,-0.0048489,0
0.52,1500,0.02125137,0.00675824,-0.0008489,0
0.53,1500,0.01725137,0.00575824,0.0031511,0
0.541,1500,0.02325137,0.00475824,-0.0028489,0
0.55,1500,0.01625137,0.00675824,-0.0028489,0
0.56,1500,0.01025137,0.00575824,-0.0118489,0
0.57,1500,0.03025137,0.00275824,-0.0028489,0
0.58,1500,0.01625137,0.00775824,-0.0098489,0
0.591,1500,0.03025137,0.01075824,0.0031511,0
0.6,1500,0.02225137,0.00975824,0.0001511,0
0.61,1500,0.03325137,0.00475824,0.0001511,0
0.62,1500,0.02225137,0.00375824,-0.0038489,0
0.63,1500,0.01425137,0.00775824,0.0001511,0
0.641,1500,0.02525137,0.00375824,0.0001511,0
0.651,1500,0.01325137,0.00375824,-0.0048489,0
0.661,1500,0.02425137,0.00775824,0.0001511,0
0.671,1500,0.02025137,0.00675824,-0.0038489,0
0.681,1500,0.01925137,0.00275824,-0.0078489,0
0.691,1500,0.02825137,0.00575824,-0.0038489,0
0.701,1500,0.02725137,0.00575824,0.0031511,0
0.711,1500,0.02825137,0.00875824,0.0041511,0
0.72,1500,0.01925137,0.00375824,-0.0008489,0
0.73,1500,0.03225137,0.00275824,0.0051511,0
0.741,1500,0.02025137,0.00675824,0.0041511,0
0.75,1500,0.01425137,0.00475824,-0.0018489,0
0.76,1500,0.02225137,0.00375824,-0.0028489,0
0.77,1500,0.01425137,0.00375824,0.0001511,0
0.78,1500,0.01425137,0.00675824,-0.0048489,0
0.791,1500,0.02625137,0.00675824,-0.0048489,0
0.8,1500,0.02425137,0.00575824,-0.0038489,0
0.81,1500,0.02525137,0.00575824,-0.0048489,0
0.82,1500,0.02525137,0.00775824,-0.0038489,0
0.83,1500,0.03125137,0.00275824,0.0031511,0
0.84,1500,0.02925137,0.00675824,0.0091511,0
0.85,1500,0.02625137,0.00375824,0.0041511,0
0.86,1500,0.01625137,0.00475824,-0.0038489,0
0.87,1500,0.01725137,0.00275824,-0.0068489,0
0.88,1500,0.01625137,0.00075824,0.0041511,0
0.89,1500,0.01925137,0.01175824,0.0031511,0
0.9,1500,0.01925137,0.00675824,-0.0058489,0
0.91,1500,0.02625137,-0.00124176,0.0011511,0
0.92,1500,0.02225137,0.00475824,0.0041511,0
0.931,1500,0.03025137,0.00675824,0.0021511,0
0.941,1500,0.02025137,0.00875824,-0.0018489,0
0.95,1500,0.03025137,0.00275824,-0.0028489,0
0.96,1500,0.01725137,0.00575824,0.0031511,0
0.971,1500,0.02525137,0.00775824,0.0011511,0
